Transaction ID,Customer ID,Customer Name,Order Date,Sales Person Name,Product ID,Category,Product Name,Dollar Sales,Returns,Quantity
103982,AA-10375,Allen Armold,11/14/2021,John Blake,J-2001,Jeans,Black Denim,25,0,1
147039,AA-10375,Allen Armold,9/7/2022,Alex Ferguson,J-2003,Jeans,Chinos,200,0,5
131065,AA-10375,Allen Armold,9/7/2022,Alex Ferguson,J-2002,Jeans,Blue Denim,30,0,2
131065,AA-10375,Allen Armold,12/11/2022,Alex Ferguson,J-2003,Jeans,Chinos,120,0,3
169488,AA-10480,Andrew Allen,7/17/2021,Samuel Washington,J-2003,Jeans,Chinos,120,0,3
169488,AA-10480,Andrew Allen,7/17/2021,Samuel Washington,J-2003,Jeans,Chinos,40,0,1
100230,AA-10480,Andrew Allen,7/17/2021,Samuel Washington,J-2002,Jeans,Blue Denim,120,0,8
100230,AA-10480,Andrew Allen,8/26/2021,Samuel Washington,J-2002,Jeans,Blue Denim,30,0,2
121671,AA-10480,Andrew Allen,4/15/2022,John Blake,J-2003,Jeans,Chinos,120,0,3
121671,AA-10645,Anna Andreadi,11/5/2022,Mike Davidson,J-2001,Jeans,Black Denim,50,0,2
121671,AB-10060,Adam Bellavance,3/13/2021,John Blake,J-2002,Jeans,Blue Denim,30,0,2
114601,AB-10060,Adam Bellavance,9/1/2021,Alex Ferguson,J-2002,Jeans,Blue Denim,30,0,2
114601,AB-10060,Adam Bellavance,9/1/2021,Alex Ferguson,J-2001,Jeans,Black Denim,100,0,4
114601,AB-10060,Adam Bellavance,9/16/2022,Alex Ferguson,J-2002,Jeans,Blue Denim,60,0,4
114601,AB-10060,Adam Bellavance,11/5/2022,Samuel Washington,J-2003,Jeans,Chinos,40,0,1
114412,AB-10060,Adam Bellavance,11/5/2022,Samuel Washington,J-2002,Jeans,Blue Denim,45,0,3
147137,AB-10060,Adam Bellavance,11/5/2022,Samuel Washington,J-2002,Jeans,Blue Denim,150,0,10
147137,AB-10150,Aimee Bixby,1/31/2021,Samuel Washington,J-2002,Jeans,Blue Denim,45,0,3
131205,AB-10150,Aimee Bixby,11/19/2022,Samuel Washington,J-2003,Jeans,Chinos,160,0,4
157196,AB-10165,Alan Barnes,4/14/2022,Alex Ferguson,J-2003,Jeans,Chinos,120,0,3
140935,AB-10165,Alan Barnes,9/15/2022,John Blake,J-2003,Jeans,Chinos,200,0,5
140935,AB-10255,Alejandro Ballentine,6/16/2022,Mike Davidson,J-2003,Jeans,Chinos,120,0,3
108637,AB-10255,Alejandro Ballentine,6/16/2022,Mike Davidson,J-2001,Jeans,Black Denim,100,0,4
108637,AC-10615,Ann Chong,9/2/2022,Saul Goodman,J-2003,Jeans,Chinos,40,0,1
129714,AC-10615,Ann Chong,9/2/2022,Alex Ferguson,J-2001,Jeans,Black Denim,100,0,4
129714,AC-10660,Anna Chung,9/22/2021,Samuel Washington,J-2001,Jeans,Black Denim,150,0,6
129714,AD-10180,Alan Dominguez,1/22/2022,Mike Davidson,J-2002,Jeans,Blue Denim,30,0,2
159688,AD-10180,Alan Dominguez,4/30/2022,Mike Davidson,J-2003,Jeans,Chinos,160,0,4
134173,AD-10180,Alan Dominguez,12/1/2022,Alex Ferguson,J-2001,Jeans,Black Denim,75,0,3
118213,AF-10870,Art Ferguson,5/22/2021,Saul Goodman,J-2003,Jeans,Chinos,160,0,4
118213,AF-10870,Art Ferguson,11/18/2022,John Blake,J-2003,Jeans,Chinos,40,0,1
118213,AG-10270,Alejandro Grove,9/13/2021,Samuel Washington,J-2002,Jeans,Blue Denim,45,0,3
107174,AG-10270,Alejandro Grove,9/13/2021,Samuel Washington,J-2002,Jeans,Blue Denim,30,0,2
107174,AG-10270,Alejandro Grove,9/13/2021,Samuel Washington,J-2001,Jeans,Black Denim,75,0,3
107174,AG-10330,Alex Grayson,12/10/2022,Mike Davidson,J-2003,Jeans,Chinos,80,0,2
122245,AG-10330,Alex Grayson,12/22/2022,Samuel Washington,J-2002,Jeans,Blue Denim,75,0,5
121643,AG-10330,Alex Grayson,12/22/2022,Samuel Washington,J-2003,Jeans,Chinos,200,0,5
126788,AG-10390,Allen Goldenen,11/20/2021,Alex Ferguson,J-2002,Jeans,Blue Denim,45,0,3
140781,AG-10495,Andrew Gjertsen,10/13/2022,Alex Ferguson,J-2001,Jeans,Black Denim,50,0,2
153822,AG-10495,Andrew Gjertsen,10/13/2022,Alex Ferguson,J-2002,Jeans,Blue Denim,60,0,4
153822,AG-10675,Anna Gayman,1/14/2021,John Blake,J-2001,Jeans,Black Denim,50,0,2
101042,AG-10675,Anna Gayman,6/9/2022,John Blake,J-2003,Jeans,Chinos,160,0,4
147970,AG-10675,Anna Gayman,7/29/2022,John Blake,J-2003,Jeans,Chinos,80,0,2
120761,AH-10075,Adam Hart,6/26/2021,Mike Davidson,J-2003,Jeans,Chinos,80,0,2
158876,AH-10075,Adam Hart,12/17/2021,Samuel Washington,J-2002,Jeans,Blue Denim,150,0,10
